"question","answer","notes","tags"
"What is the difference between Tuples and ValueTuples?","Tuple (System.Tuple) is a reference type with immutable, unnamed properties (Item1, Item2, etc.), while ValueTuple (System.ValueTuple) is a mutable value type that supports named elements via language syntax.","ValueTuples have been generally preferred since C# 7 for lightweight, temporary data grouping.","csharp,tuples,value-types"
"What is the difference between ""is"" and ""as"" keywords?","""is"" checks whether an object is compatible with a given type and returns a bool (optionally combined with a pattern-matching cast); ""as"" attempts a cast and returns null if it fails instead of throwing.","""as"" only works with reference types and nullable value types; a regular cast throws InvalidCastException on failure.","csharp,casting,type-checking"
"What is the use of the ""using"" keyword?","The ""using"" keyword has two uses: a using directive that imports a namespace, and a using statement/declaration that ensures an IDisposable object is disposed once it goes out of scope.","C# 8 added ""using"" declarations that dispose at the end of the enclosing scope, reducing nesting versus the older using(){} block.","csharp,resource-management,idisposable"
"What is the purpose of the ""dynamic"" keyword?","The ""dynamic"" keyword tells the compiler to skip static type checking for that variable; type resolution happens at runtime instead.","Useful for interop scenarios like COM objects, but it sacrifices compile-time safety and has a performance cost.","csharp,dynamic-typing,interop"
"What are expression-bodied members?","Expression-bodied members let you define a method, property, or other member using a single expression with the ""=>"" syntax instead of a full method body.","Handy for reducing boilerplate on simple one-line members such as getters or short calculations.","csharp,syntax,members"
"What are Funcs and lambda expressions?","Func is a built-in generic delegate type representing a function with a given signature that returns a value; a lambda expression is a concise, inline way to define an anonymous function, often assigned to a Func or Action.","Action is the void-returning counterpart to Func.","csharp,delegates,functional"
"What are delegates?","A delegate is a type-safe reference to one or more methods with a matching signature, letting methods be passed as parameters, stored in variables, or invoked indirectly.","Multicast delegates hold references to more than one method and invoke them all in sequence when called.","csharp,delegates,fundamentals"
"How does the Garbage Collector decide which objects can be removed from memory?","The Garbage Collector treats an object as removable once no reachable reference chain exists from the application's roots to that object; it traces reachability rather than counting references.",".NET uses a tracing (mark-and-sweep) GC, unlike reference-counting systems such as Swift's ARC.","csharp,garbage-collection,memory"
"What are generations?","The GC organizes the managed heap into three generations (0, 1, 2) based on object age; short-lived objects start in generation 0 and are collected most often, while long-lived objects get promoted to higher generations that are collected less frequently.","The Large Object Heap holds objects over roughly 85,000 bytes and is logically treated as part of generation 2.","csharp,garbage-collection,memory"
"What is the difference between Dispose and Finalize methods?","Dispose is called explicitly (often via ""using"") to deterministically release unmanaged resources, while Finalize is invoked by the GC nondeterministically as a safety net before an object's memory is reclaimed.","Implementing IDisposable and calling GC.SuppressFinalize avoids the extra overhead of an unnecessary finalizer call.","csharp,idisposable,garbage-collection"
"What are default implementations in interfaces?","Since C# 8, interfaces can provide a default method body, letting new members be added to an interface without breaking classes that already implement it.","Mainly intended for evolving public library interfaces over time, not as a general substitute for abstract classes.","csharp,interfaces,csharp8"
"What is deconstruction?","Deconstruction lets you split an object such as a tuple, ValueTuple, or record into individual variables in a single statement using a Deconstruct method.","You can add a Deconstruct method to your own types, or supply one as an extension method for types you don't own.","csharp,tuples,records"
"Why is ""catch(Exception)"" almost always a bad idea (and when it is not?)?","Catching the base Exception type hides the specific error type and makes it easy to accidentally swallow bugs you didn't anticipate; it's generally acceptable only in a top-level global handler or when immediately rethrowing.","Prefer catching the specific exception types you actually know how to handle.","csharp,exceptions,best-practices"
"What is the difference between ""throw"" and ""throw ex""?","""throw"" rethrows the current exception while preserving its original stack trace; ""throw ex"" resets the stack trace to the current catch block, hiding where the exception actually originated.","Always prefer a bare ""throw"" when rethrowing inside a catch block.","csharp,exceptions,debugging"
"What is the difference between typeof and GetType?","typeof is a compile-time operator that takes a type name and returns its Type object; GetType is an instance method (inherited from object) that returns the runtime type of an object.","typeof needs the type name known at compile time, while GetType reflects the actual runtime type of a polymorphic instance.","csharp,reflection,types"
"What is reflection?","Reflection is a mechanism that lets code inspect and interact with type metadata at runtime, such as listing members, reading attributes, or invoking a method by name.","Powerful but has a real performance cost and can make code harder to understand and maintain.","csharp,reflection,metadata"
"What are attributes?","Attributes are declarative metadata tags attached to types or members that can be read at runtime via reflection, such as the built-in [Serializable] or custom attributes deriving from Attribute.","Commonly used for serialization hints, validation rules, or framework/tooling configuration.","csharp,attributes,metadata"
"What is serialization?","Serialization is the process of converting an object's state into a storable or transmittable format such as JSON, XML, or binary; deserialization reverses the process.","Common uses include sending data over a network, persisting it to disk, or caching a snapshot of an object's state.","csharp,serialization,data"
"What is pattern matching?","Pattern matching lets you test whether an expression has a particular shape or type and, if so, extract data from it in the same statement, e.g. ""if (obj is string text)"".","C# has significantly expanded pattern matching (switch expressions, property patterns, and more) since C# 7.","csharp,pattern-matching,syntax"
"How does the binary number system work?","The binary number system represents values using only 0s and 1s, where each bit position corresponds to a power of two; computers use it natively because a bit maps directly onto two physical states.","Arithmetic overflow happens when a result needs more bits than a numeric type's fixed size allows.","csharp,fundamentals,numbers"
"What is the purpose of the ""checked"" keyword?","The ""checked"" keyword marks a block or expression so that arithmetic overflow throws an OverflowException instead of silently wrapping around.","The default in most build configurations is unchecked; use checked for money or other safety-critical calculations.","csharp,arithmetic,overflow"
"What is the difference between double and decimal?","double is a 64-bit binary floating-point type with a wide range but rounding imprecision; decimal is a 128-bit type optimized for base-10 arithmetic, giving exact precision for financial values at the cost of range and speed.","Always use decimal, not double or float, to represent money.","csharp,numeric-types,precision"
"What is an Array?","An Array is C#'s most basic collection type, storing a fixed number of elements of the same type in contiguous memory.","Arrays can't be resized after creation; use List<T> when the collection needs to grow or shrink.","csharp,collections,arrays"
"What is a List?","List<T> is a generic, strongly-typed, dynamically-resizable collection built on top of an array that automatically grows its backing array as elements are added.","Setting an expected Capacity upfront avoids the costly array-copy operations that happen as the list grows.","csharp,collections,generics"
"What is an ArrayList?","ArrayList is a non-generic, dynamically-resizable collection that stores elements as System.Object, allowing mixed types but requiring boxing/unboxing and casting.","Considered obsolete in modern C#; List<T> should be used instead in virtually all cases.","csharp,collections,legacy"
"What is the purpose of the GetHashCode method?","GetHashCode returns an integer ""fingerprint"" for an object that hash-based collections (like Dictionary and HashSet) use to bucket and quickly locate items.","If you override Equals, you must also override GetHashCode consistently, since equal objects must produce equal hash codes.","csharp,hashing,collections"
"What is a Dictionary?","Dictionary<TKey, TValue> is a hash-table-based collection that stores key-value pairs and provides near O(1) average-case lookup, insertion, and deletion by key.","Even when two keys share a hash code, Equals is used to correctly tell them apart.","csharp,collections,dictionary"
"What are indexers?","Indexers let instances of a class be accessed with array-like bracket syntax (e.g. obj[key]) by defining a special ""this[...]"" property.","A class can define multiple overloaded indexers as long as their parameter lists differ, similar to method overloading.","csharp,syntax,indexers"
"What is caching?","Caching is the practice of storing the results of expensive operations (data fetches or calculations) in a fast-access store keyed by some identifier, so repeated requests can be served without redoing the work.","Caches need an eviction or expiration strategy to avoid unbounded memory growth and serving stale data.","csharp,performance,caching"
"What are immutable types and what's their purpose?","An immutable type's state can't change after construction; any ""modification"" instead produces a new object, which simplifies reasoning, testing, and multithreaded code.","A ""non-destructive mutation"" (e.g. a record's ""with"" expression) creates a new object rather than altering the original.","csharp,immutability,design"
