question,answer,notes,tags
What is the Common Intermediate Language (CLI)?,"It is a programming language that all .NET-compatible languages like C#, Visual Basic, or F# get compiled to","C#, F# and others that are similar are compatible because they are .NET compatible and they get compiled to the CIL. The CIL result happens at compile time not runtime",
What is the Common Language Runtime (CLR) ?,It is a runtime environment that manages the execution of the .NET applications,"The CLR is responsible for many operations such as: JIT compilation, Memory management, exception handling, thread management, type safety (CTS), and more",
What is the difference between C# and .NET?,"C# is a programming language. NET is a framework that supports applications written in C#, as well as in other .NET compatible languages",C# is a plane and .NET is the airport. NET provides the execution environment CLR,
What is the difference between value types and reference types?,"1) Value types inherit from System.ValueType while reference types inherit from System.Object. 2) Value types are passed by copy, reference types are passed by reference. 3) On assignment, a variable of value type is copied. For reference types, only a reference is copied. 4) All value types are sealed. 5) Value types are stored on the stack, reference types are stored on the heap (because of that garbage collector only cleans up reference types)","Value types examples are: int, double, DateTime, bool. Reference types examples are: Object, String, StringBuilder, List Array.",
What is boxing and unboxing?,"Boxing is the process of wrapping a value type into an instance of a type System.Object. Unboxing is the opposite, the process of converting the boxed value back to value type.",The penalty is on performance because it is expensive,
What are the three main types of errors?,"There are 3 main types: 1) compilation errors, also known as syntax errors, reported by the compiler. 2) runtime errors, thrown during program execution. 3) logical errors, occurring when the program works without crashing but it does not produce a correct result",Both runtime and logical errors can be prevented with unit tests. Exceptions are the mechanism that C# uses to handle runtime errors,
How are exceptions handled in C#?,"Exceptions are handled by try-catch-finally blocks. Try contains the code that may throw exceptions, catch defines what should be done if an exception of a given type is thrown, and finally is executed no matter if the exception was thrown or not.",The base type of all exceptions is System.Exception,
What are the types of access modifiers in C#?,"public, internal, protected, protected internal, private protected and private",private protected is only available within the same assembly but works as protected in the same assembly. protected internal is like a regular internal but from a different assembly it works as protected.,
What are the default access modifiers in C#?,"The default access modifier at the namespace level is internal. At the class level, it is private.",,
"What is the purpose of the ""sealed"" modifier?","The sealed modifier prevents a class from being inherited, or an overridden method from further overriding",You cannot make an abstract class sealed because it makes no sense. Marking sealed can increase performance since tells the CLR to avoid looking for further classes,
"What is the purpose of the ""params"" keyword?","The ""params"" keyword allows us to pass any number of parameters of the same type to a method.",,
